057e, 310a
057f, 5e35
0580, bf27
0581, 0c54
0582, 3be3
0583, 42bd
0584, 4e35
0585, 0ea6
0586, 8c0f
0587, 9a70
0588, 449f
0589, ec63
058a, 0901
058b, 766f
058c, 519c
058d, a97a
058e, 5a35
058f, ff94
0590, 3722
0591, 206b
0592, 7322
0593, 07ac
0594, 8be0
0595, 0732
0596, 16a2
0597, e27f
0598, 00db
0599, 585d
059a, fc7e
059b, a732
059c, 3da6
059d, 4180
059e, 5e64
059f, a869
05a0, 0fbd
05a1, 04d6
05a2, 2d7d
05a3, 7575
05a4, d427
05a5, b02b
05a6, af9f
05a7, 3979
05a8, 7dfb
05a9, e47a
05aa, b9bb
05ab, f4ed
05ac, 4214
05ad, 12c1
05ae, e19f
05af, c436
05b0, 7bd0
05b1, c0cf
05b2, 7789
05b3, 2d1a
05b4, 6592
05b5, 41e9
05b6, 9d38
05b7, 63cd
05b8, 4255
05b9, 55a9
05ba, c0db
05bb, ae08
05bc, 484b
05bd, c8e4
05be, 34a0
05bf, 7482
05c0, 7dec
05c1, d323
05c2, e42d
05c3, a028
05c4, b061
05c5, d01e
05c6, 5942
05c7, e930
05c8, 944f
05c9, d946
05ca, 9623
05cb, a534
05cc, 976b
05cd, 0916
05ce, b525
05cf, ef99
05d0, 3a91
05d1, c19b
05d2, bb40
05d3, be10
05d4, ab0c
05d5, cb26
05d6, c236
05d7, 7641
05d8, cf22
05d9, 4636
05da, 95db
05db, be1c
05dc, 0d9b
05dd, 9263
05de, bb4c
05df, e430
05e0, 6236
05e1, d94c
05e2, 3341
05e3, 2699
05e4, fc90
05e5, 4327
05e6, 51a5
05e7, 3b7b
05e8, 45b8
05e9, 2f7d
05ea, c948
05eb, f6ef
05ec, 0ea3
05ed, 03e3
05ee, beb3
05ef, fe08
05f0, 3200
05f1, 56a6
05f2, 6e0d
05f3, 2453
05f4, 6093
05f5, 0839
05f6, 16c0
05f7, 6130
05f8, 4310
05f9, 1006
05fa, 04b5
05fb, a79c
05fc, 1020
05fd, 0196
05fe, 34e0
05ff, c6cb
0600, 9cd8
0601, b2bd
0602, 510a
0603, 406b
0604, e2dd
0605, 051a
0606, 6875
0607, 1782
0608, dc3a
0609, f898
060a, c0f9
060b, 57a2
060c, 7c22
060d, 3875
060e, b2ff
060f, e9e2
0610, 8d38
0611, b111
0612, 74b3
0613, ce02
0614, 4d9d
0615, 2782
0616, 52f4
0617, be08
0618, d3e7
0619, ef18
061a, 2d9d
061b, dc28
061c, 6b41
061d, d1ea
061e, 7ffb
061f, 9792
0620, 88b1
0621, 147d
0622, 756b
0623, aed0
0624, 9243
0625, 212b
0626, 232f
0627, 3381
0628, db93
0629, 4787
062a, 547c
062b, cea7
062c, cc96
062d, 336f
062e, c216
062f, 9f95
0630, 94bc
0631, 012b
0632, 0650
0633, e725
0634, fb21
0635, e19b
0636, 58b0
0637, b4db
0638, b725
0639, f09a
063a, 9d27
063b, d4bd
063c, fc04
063d, 0fc2
063e, a905
063f, af34
0640, b69a
0641, 434b
0642, 7af1
0643, 8363
0644, df23
0645, f94c
0646, 5c90
0647, 96b9
0648, d327
0649, d6b8
064a, 9f03
064b, f69b
064c, 1fde
064d, 2fa2
064e, eb45
064f, 4cec
0650, 513d
0651, c96b
0652, 1194
0653, c7a0
0654, 1024
0655, 17f3
0656, 75b5
0657, 300a
0658, b0a6
0659, 254e
065a, 3dd2
065b, 553c
065c, cbac
065d, 13b0
065e, 6411
065f, 9228
0660, a9ba
0661, f68e
0662, e1f3
0663, 2451
0664, a90e
0665, 1b25
0666, 811c
0667, 5b60
0668, 0124
0669, 0b34
066a, 8388
066b, bdee
066c, 3fd2
066d, f27a
066e, 9c6a
066f, a81e
0670, f39f
0671, 254a
0672, fa06
0673, c322
0674, d846
0675, 9c7f
0676, 29e2
0677, d774
0678, 9622
0679, 93f9
067a, f842
067b, b756
067c, 1a9f
067d, ce75
067e, e920
067f, 48f9
0680, 95f9
0681, c126
0682, 3bb0
0683, e720
0684, ba06
0685, ce1e
0686, 4f84
0687, 91ba
0688, b660
0689, f59f
068a, 18aa
068b, b3bc
068c, cc32
068d, 08b3
068e, cd22
068f, af43
0690, 4952
0691, 760a
0692, 976a
0693, 2ebb
0694, cb6c
0695, ee89
0696, c17c
0697, 3946
0698, 4144
0699, 6956
069a, eb4a
069b, 1906
069c, 7ae8
069d, 925e
069e, 1628
069f, f499
06a0, ca1d
06a1, c3ca
06a2, bdfe
06a3, b816
06a4, 5899
06a5, 71b7
06a6, 94ef
06a7, 9e3d
06a8, ce01
06a9, a879
06aa, 3cd9
06ab, fe1f
06ac, 2d60
06ad, d127
06ae, 6344
06af, f0e0
06b0, bbb9
06b1, 95fc
06b2, 536f
06b3, e959
06b4, a6cc
06b5, 436b
06b6, 4e02
06b7, ad9d
06b8, fae7
06b9, f551
06ba, c4ec
06bb, cd9d
06bc, cc90
06bd, 3f10
06be, f7dc
06bf, bfb1
06c0, 8cc2
06c1, 131c
06c2, b162
06c3, 9ee0
06c4, c702
06c5, a536
06c6, 4338
06c7, 62e3
06c8, a9a4
06c9, 2394
06ca, 5359
06cb, fda3
06cc, 74a6
06cd, 1728
06ce, 9642
06cf, 0182
06d0, 2b03
06d1, ce1c
06d2, 8081
06d3, 1313
06d4, da0b
06d5, 7c04
06d6, e72d
06d7, 3f63
06d8, 5461
06d9, 2905
06da, 9e0d
06db, 7d27
06dc, 18b1
06dd, a22a
06de, 8e5a
06df, df4a
06e0, 4961
06e1, ee38
06e2, d32f
06e3, 7777
06e4, fe2b
06e5, 9fde
06e6, 09e9
06e7, 1f03
06e8, 1445
06e9, 434f
06ea, be29
06eb, 5f23
06ec, 6234
06ed, c64e
06ee, ae3a
06ef, a1d9
06f0, 9601
06f1, 8a1b
06f2, 56b7
06f3, a3a7
06f4, 5561
06f5, 05a4
06f6, 6182
06f7, 525b
06f8, f3b0
06f9, 525e
06fa, 0e87
06fb, c610
06fc, 0b21
06fd, 34f1
06fe, 4707
06ff, 95b6
0700, cdb2
0701, 3b45
